행정구역,2017년12월_남자인구수,2017년12월_여자인구수,2017년12월_계,2018년01월_남자인구수,2018년01월_여자인구수,2018년01월_계,2018년02월_남자인구수,2018년02월_여자인구수,2018년02월_계,2018년03월_남자인구수,2018년03월_여자인구수,2018년03월_계,2018년04월_남자인구수,2018년04월_여자인구수,2018년04월_계,2018년05월_남자인구수,2018년05월_여자인구수,2018년05월_계,,,,,,
전국  (1),13758,12857,26615,15630,14929,30615,14035,13554,27594,15461,14729,30190,14724,13927,28651,15112,14519,29631,,,,,,
서울특별시  (1100000000),2582,2405,4987,2724,2580,5337,2525,2433,4963,2666,2551,5217,2635,2472,5107,2688,2500,5188,,,,,,
서울특별시 종로구 (1111000000),27,34,61,34,34,68,29,21,50,37,28,65,30,28,58,25,29,54,,,,,,
서울특별시 종로구 청운효자동(1111051500),4,2,6,3,4,7,6,0,6,4,3,7,3,4,7,2,5,7,,,,,,
서울특별시 종로구 사직동(1111053000),4,1,5,2,1,3,3,1,4,2,3,5,0,0,0,3,2,5,,,,,,
서울특별시 종로구 삼청동(1111054000),0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,,,,,,
서울특별시 종로구 부암동(1111055000),1,3,4,1,4,5,1,0,1,4,3,7,2,1,3,1,3,4,,,,,,
서울특별시 종로구 평창동(1111056000),1,6,7,8,5,13,2,2,4,4,3,7,5,5,10,4,2,6,,,,,,
서울특별시 종로구 무악동(1111057000),3,1,4,0,0,0,2,2,4,1,1,2,0,0,0,0,0,0,,,,,,
서울특별시 종로구 교남동(1111058000),4,4,8,4,3,7,5,2,7,5,5,10,1,6,7,2,5,7,,,,,,
서울특별시 종로구 가회동(1111060000),0,0,0,1,1,2,3,0,3,1,3,4,2,1,3,0,2,2,,,,,,
서울특별시 종로구 종로1.2.3.4가동(1111061500),0,1,1,0,1,1,0,3,3,2,0,2,0,0,0,1,1,2,,,,,,
서울특별시 종로구 종로5.6가동(1111063000),0,2,2,2,1,3,0,2,2,0,0,0,0,1,1,0,0,0,,,,,,
서울특별시 종로구 이화동(1111064000),0,3,3,0,0,0,1,2,3,3,1,4,3,0,3,3,1,4,,,,,,
서울특별시 종로구 혜화동(1111065000),1,1,2,3,3,6,0,0,0,2,2,4,4,1,5,1,2,3,,,,,,
서울특별시 종로구 창신제1동(1111067000),0,1,1,1,1,2,0,3,3,0,2,2,2,0,2,1,2,3,,,,,,
서울특별시 종로구 창신제2동(1111068000),3,3,6,1,2,3,4,1,5,2,0,2,2,3,5,4,2,6,,,,,,
서울특별시 종로구 창신제3동(1111069000),5,3,8,4,3,7,2,2,4,4,1,5,5,3,8,2,1,3,,,,,,
서울특별시 종로구 숭인제1동(1111070000),0,2,2,0,4,4,0,0,0,1,1,2,1,2,3,0,0,0,,,,,,
서울특별시 종로구 숭인제2동(1111071000),1,1,2,2,1,3,0,1,1,0,0,0,0,1,1,1,1,2,,,,,,
서울특별시 중구 (1114000000),33,31,64,35,34,69,27,21,53,34,33,67,25,34,59,38,37,75,,,,,,
서울특별시 중구 소공동(1114052000),1,0,1,1,1,2,0,2,2,0,2,2,1,0,1,2,0,2,,,,,,
서울특별시 중구 회현동(1114054000),0,1,1,2,0,2,0,0,5,0,0,0,1,1,2,0,0,0,,,,,,
서울특별시 중구 명동(1114055000),0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,4,6,,,,,,
서울특별시 중구 필동(1114057000),2,0,2,3,2,5,2,0,2,0,0,0,0,0,0,3,1,4,,,,,,
서울특별시 중구 장충동(1114058000),2,0,2,0,2,2,3,0,3,0,1,1,1,0,1,0,1,1,,,,,,
